Name,TOF,RX,FP,dist
11a1,42552.166873113725,-94.09,-98.63,199.58484813579173
12a2,42562.223771422374,-89.46,-93.61,199.6320185778431
13a3,42648.68748504258,-89.99,-94.23,200.03756425084262
14a4,42567.786517768756,-89.52,-93.6,199.65810984337304
15a5,42578.51623079977,-93.35,-97.85,199.70843602657825
