Message num,Action,send,recived,RXPower,FPPower
17420,POLL,635542484992,469947892373,-90.36,-100.57
17420,POLL_ACK,471021050880,636615733461,-90.21,-102.44
17420,RANGE,641262583808,475667965406,-90.38,-100.99
17421,POLL,651645728256,486051063081,-90.12,-101.47
17421,POLL_ACK,487121937920,652716693058,-90.11,-101.6
17421,RANGE,657363652608,491768961688,-90.46,-99.53
17422,POLL,659696747520,494102046078,-90.56,-101.38
17422,POLL_ACK,495174987264,660769778681,-90.67,-99.71
17422,RANGE,665416785408,499822058175,-91.86,-99.82
17423,POLL,667748149248,502153411507,-92.8,-99.67
17423,POLL_ACK,503226301952,668821129671,-93.25,-99.2
17423,RANGE,673468135424,507873371906,-93.84,-99.5
17424,POLL,675799494144,510204720127,-93.4,-98.21
17424,POLL_ACK,511277249024,676872113042,-93.68,-97.26
17424,RANGE,681519126528,515924326729,-91.58,-95.79
17425,POLL,683850892288,518256081974,-90.95,-99.0
17425,POLL_ACK,519328736768,684923637070,-91.0,-97.73
17425,RANGE,689570990080,523976153970,-90.13,-98.98
17426,POLL,691902294016,526307447396,-90.55,-98.84
17426,POLL_ACK,527380827648,692975764246,-90.71,-98.21
17426,RANGE,697622195200,532027322774,-90.19,-96.86
17427,POLL,699954075136,534359192214,-90.2,-95.81
17427,POLL_ACK,535432199168,701027172090,-90.66,-99.22
17427,RANGE,705674061312,540079152688,-90.66,-96.06
17428,POLL,708005097472,542410178317,-90.57,-95.47
17428,POLL_ACK,543485254656,709080263915,-90.09,-97.95
17428,RANGE,713726488576,548131543521,-90.29,-96.26
17429,POLL,716056560128,550461604541,-90.08,-98.31
17429,POLL_ACK,551534638592,717129684179,-90.43,-95.84
17429,RANGE,721775199232,556180217852,-90.22,-97.43
17430,POLL,724108344832,558513352946,-89.88,-95.99
17430,POLL_ACK,559586655744,725181737675,-90.29,-97.74
17430,RANGE,729828173824,564233156112,-90.24,-97.76
17431,POLL,732159303168,566564274972,-90.42,-95.85
17431,POLL_ACK,567637280256,733232398519,-90.62,-97.38
17431,RANGE,737879142912,572284088917,-90.63,-95.71
17432,POLL,740210704896,574615640329,-90.53,-97.19
17432,POLL_ACK,575688585728,741283740322,-90.78,-97.28
17432,RANGE,745930610688,580335520310,-90.63,-97.33
17433,POLL,748262478848,582667377948,-90.57,-98.01
17433,POLL_ACK,583740594688,749335785625,-90.69,-98.2
17433,RANGE,753981996032,588386869315,-90.67,-98.83
17434,POLL,756313508352,590718371128,-90.83,-97.33
17434,POLL_ACK,591791277056,757386504317,-91.45,-98.08
17434,RANGE,762033404928,596438241896,-91.03,-96.19
17435,POLL,764365290496,598770116967,-91.09,-95.19
17435,POLL_ACK,599843019776,765438283393,-91.38,-98.16
17435,RANGE,770085121536,604489922146,-91.26,-95.58
17436,POLL,772416372736,606821162796,-91.32,-96.48
17436,POLL_ACK,607894865920,773490165911,-91.61,-96.08
17436,RANGE,778136808448,612541572675,-91.29,-95.11
17437,POLL,780468157440,614872911081,-91.38,-95.46
17437,POLL_ACK,615946024960,781541361395,-91.76,-97.47
17437,RANGE,786187806720,620592534429,-91.64,-96.55
17438,POLL,788519492608,622924209767,-91.61,-98.13
17438,POLL_ACK,623997488640,789592861494,-91.68,-97.45
17438,RANGE,794239523328,628644214646,-90.97,-96.78
17439,POLL,796570576896,630975257717,-90.81,-95.33
17439,POLL_ACK,632048090624,797643499881,-90.97,-96.51
17439,RANGE,802290354688,636695009606,-90.78,-97.24
17440,POLL,804622296576,639026940970,-90.87,-96.72
17440,POLL_ACK,640099798016,805695243645,-91.13,-97.96
17440,RANGE,810342203904,644746822459,-90.76,-96.4
17441,POLL,820725094912,655129666556,-90.96,-95.62
17441,POLL_ACK,656201276416,821796794815,-91.55,-97.75
17441,RANGE,826443341312,660847887073,-91.01,-97.08
17442,POLL,828776124416,663180659629,-90.81,-97.41
17442,POLL_ACK,664253491200,829849046014,-91.39,-97.44
17442,RANGE,834496283648,668900792974,-91.45,-97.43
17443,POLL,836827526656,671232025429,-91.33,-97.57
17443,POLL_ACK,672304547328,837900138560,-91.98,-97.68
17443,RANGE,842547742208,676952215107,-91.44,-98.09
17444,POLL,844878988800,679283451104,-91.07,-97.44
17444,POLL_ACK,680356577792,845952205516,-91.1,-96.44
17444,RANGE,850599233024,685003669369,-90.38,-96.49
17445,POLL,852930702336,687335128109,-90.2,-96.59
17445,POLL_ACK,688408048640,854003712883,-90.2,-97.78
17445,RANGE,858650290176,693054690093,-90.21,-95.17
17446,POLL,860981735936,695386125382,-90.38,-94.75
17446,POLL_ACK,696459069952,862054770716,-90.7,-94.1
17446,RANGE,866701849600,701106213020,-91.0,-97.06
17447,POLL,869033137664,703437490499,-90.75,-99.0
17447,POLL_ACK,704510632448,870106369660,-90.67,-99.93
17447,RANGE,874753214464,709157541323,-90.17,-101.55
17448,POLL,877084597760,711488914057,-89.96,-99.48
17448,POLL_ACK,712561706496,878157480211,-89.97,-101.89
17448,RANGE,882804748800,717209039147,-89.54,-102.61
17449,POLL,885135996416,719540276212,-89.36,-98.35
17449,POLL_ACK,720613443584,886209253809,-89.44,-96.65
17449,RANGE,890855971840,725260225685,-89.38,-99.9
17450,POLL,893187338752,727591582012,-89.47,-100.2
17450,POLL_ACK,728664328192,894260174947,-89.38,-99.14
17450,RANGE,898907252736,733311469983,-89.78,-96.72
17451,POLL,901239113216,735643319929,-90.09,-94.8
17451,POLL_ACK,736716335104,902312218540,-89.56,-96.8
17451,RANGE,906959101440,741363282027,-89.82,-96.55
17452,POLL,909290142720,743694312690,-90.21,-97.16
17452,POLL_ACK,744767404032,910363324269,-89.8,-93.76
17452,RANGE,915010120704,749414264663,-89.93,-95.39
17453,POLL,917341608448,751745741821,-89.91,-97.36
17453,POLL_ACK,752818830848,918414787541,-89.82,-95.77
17453,RANGE,923060875264,757464982580,-89.8,-100.37
17454,POLL,925392950272,759797046987,-89.57,-98.8
17454,POLL_ACK,760870223872,926466217193,-89.6,-96.36
17454,RANGE,931113093632,765517164374,-89.69,-95.35
17455,POLL,933444407296,767848467408,-90.07,-96.76
17455,POLL_ACK,768921715200,934517745118,-90.01,-96.31
17455,RANGE,939164379648,773568413778,-90.43,-96.32
17456,POLL,941495809024,775899832567,-91.01,-99.31
17456,POLL_ACK,776972826112,942568892618,-91.47,-96.08
17456,RANGE,947215388160,781619385692,-92.72,-98.59
17457,POLL,949547151872,783951138761,-92.59,-99.93
17457,POLL_ACK,785024238592,950620341738,-92.75,-98.89
17457,RANGE,955267129856,789671090616,-92.21,-99.28
17458,POLL,957598934016,792002884126,-91.22,-99.04
17458,POLL_ACK,793075545600,958671685565,-90.8,-99.95
17458,RANGE,963318459904,797722383890,-91.65,-100.56
17459,POLL,965650335744,800054249096,-92.04,-99.78
17459,POLL_ACK,801126849536,966723026211,-92.61,-99.51
17459,RANGE,971370201088,805774088390,-93.83,-99.22
17460,POLL,973701357568,808105234225,-93.97,-98.22
17460,POLL_ACK,809177845248,974774058636,-94.23,-98.48
17460,RANGE,979421347328,813825197938,-93.7,-99.18
17461,POLL,989804220416,824208023757,-93.73,-100.43
17461,POLL_ACK,825279382016,990875668706,-93.43,-99.99
17461,RANGE,995522545664,829926322980,-93.11,-100.2
17462,POLL,997855623680,832259390356,-93.68,-100.44
17462,POLL_ACK,833332117504,998928440838,-93.42,-99.91
17462,RANGE,1003575403008,837979143635,-92.95,-100.28
17463,POLL,1005907025408,840310755421,-93.57,-100.63
17463,POLL_ACK,841384002048,1006980362063,-94.01,-100.63
17463,RANGE,1011626870784,846030574759,-94.01,-99.99
17464,POLL,1013958747136,848362440454,-94.16,-100.0
17464,POLL_ACK,849435504640,1015031901335,-94.24,-99.91
17464,RANGE,1019678855680,854082522960,-93.92,-99.23
17465,POLL,1022009768448,856413425105,-94.13,-99.02
17465,POLL_ACK,857486421504,1023082854907,-94.62,-99.1
17465,RANGE,1027729863680,862133494265,-94.46,-99.08
17466,POLL,1030061170176,864464790162,-94.61,-98.92
17466,POLL_ACK,865537492480,1031133962549,-94.6,-98.32
17466,RANGE,1035781479936,870185073850,-92.52,-99.94
17467,POLL,1038112571904,872516155205,-91.52,-99.09
17467,POLL_ACK,873589255680,1039185762417,-96.62,-104.6
17467,RANGE,1043832672768,878236230042,-91.19,-96.96
17468,POLL,1046164037632,880567584293,-92.26,-97.98
17468,POLL_ACK,881640644608,1047237188004,-93.26,-99.18
17468,RANGE,1051884212224,886287732836,-92.45,-99.61
17469,POLL,1054215375872,888618885874,-91.61,-99.08
17469,POLL_ACK,889691958784,1055288538829,-91.44,-99.55
17469,RANGE,1059935289344,894338773310,-91.48,-96.78
17470,POLL,1062267149824,896670623158,-91.83,-98.73
