Name,TOF,RX,FP,dist
11a1,33723.7693834037,-82.5,-91.63,158.17651333769956
12a2,33740.04248594449,-83.66,-91.53,158.2528399959632
13a3,33791.4600887432,-82.2,-91.51,158.49400690237923
14a4,33740.14859010506,-81.61,-90.67,158.25333766234144
15a5,33745.42620520885,-83.81,-95.72,158.27809156058944
