Message num,Action,send,recived,RXPower,FPPower
1973,POLL,468444398592,88013777362,-92.06,-95.94
1973,POLL_ACK,91769542656,472200233152,-91.93,-95.83
1973,RANGE,474164320768,93733720412,-92.72,-96.71
1974,POLL,484546887680,104116325151,-92.42,-96.96
1974,POLL_ACK,107871705600,488302337361,-91.98,-95.76
1974,RANGE,490265127936,109834586315,-92.18,-95.92
1975,POLL,492598286848,112167753726,-92.39,-96.1
1975,POLL_ACK,115924604416,496355206783,-92.22,-96.39
1975,RANGE,498318515712,117888003487,-92.05,-95.5
1976,POLL,500649687552,120219183808,-92.37,-96.26
1976,POLL_ACK,123975465472,504406038477,-92.06,-95.76
1976,RANGE,506369652736,125939169870,-92.19,-96.02
1977,POLL,508701030400,128270556017,-92.57,-96.43
1977,POLL_ACK,132026697216,512457240845,-92.25,-97.27
1977,RANGE,514421133312,133990679813,-91.96,-95.64
1978,POLL,516752432640,136321987622,-92.2,-96.45
1978,POLL_ACK,140078129664,520508643941,-92.12,-96.37
1978,RANGE,522472347136,142041922980,-92.13,-96.11
1979,POLL,524804215296,144373799618,-92.4,-96.15
1979,POLL_ACK,148129820160,528560305096,-92.55,-95.96
1979,RANGE,530524144640,150093749819,-92.79,-96.23
1980,POLL,532855237120,152424850783,-92.95,-95.8
1980,POLL_ACK,156181573120,536612028737,-93.14,-95.67
1980,RANGE,538575214592,158144849106,-93.71,-96.71
1981,POLL,540906643456,160476286450,-93.26,-96.17
1981,POLL_ACK,164232866304,544663292577,-93.23,-95.83
1981,RANGE,546625974784,166195638620,-93.44,-97.12
1982,POLL,548958422016,168528094355,-93.16,-95.92
1982,POLL_ACK,172284497920,552714894846,-93.18,-97.12
1982,RANGE,554678002688,174247695910,-92.99,-96.77
1983,POLL,557009447936,176579149648,-93.09,-96.57
1983,POLL_ACK,180335672832,560766040388,-93.07,-96.24
1983,RANGE,562729546752,182299269353,-92.81,-96.66
1984,POLL,565060846592,184630577681,-92.37,-95.61
1984,POLL_ACK,188386920448,568817258629,-92.84,-96.26
1984,RANGE,570780765696,190350517666,-92.65,-96.66
1985,POLL,573112625664,192682386128,-92.32,-96.14
1985,POLL_ACK,196438982144,576869290911,-92.39,-96.73
1985,RANGE,578832779776,198402561141,-92.46,-96.24
1986,POLL,581163651072,200733440934,-92.59,-96.15
1986,POLL_ACK,204490036736,584920316121,-92.35,-96.11
1986,RANGE,586883614208,206453424961,-92.18,-96.23
1987,POLL,589215053312,208784872554,-92.47,-96.46
1987,POLL_ACK,212541385728,592971635721,-91.97,-96.13
1987,RANGE,594934392320,214504232460,-92.39,-95.94
1988,POLL,597266835968,216836684612,-92.27,-96.05
1988,POLL_ACK,220593015296,601023235895,-93.0,-96.75
1988,RANGE,602986429952,222556299491,-92.79,-96.02
1989,POLL,605317857792,224887735844,-92.99,-95.85
1989,POLL_ACK,228644123648,609074314825,-93.18,-95.9
1989,RANGE,611037832192,230607731157,-93.05,-95.33
1990,POLL,613369315328,232939222787,-93.29,-95.66
1990,POLL_ACK,236695815680,617125977464,-93.11,-95.33
1990,RANGE,619089220608,238659148972,-93.45,-95.95
1991,POLL,621420666368,240990603237,-93.5,-96.24
1991,POLL_ACK,244747237376,625177369734,-93.14,-96.06
1991,RANGE,627140689408,246710647202,-92.7,-95.33
1992,POLL,629472064512,249042030805,-93.16,-96.11
1992,POLL_ACK,252798420992,633228523916,-92.49,-96.36
1992,RANGE,635191961088,254761948314,-92.03,-95.93
1993,POLL,637523847168,257093842912,-91.77,-95.23
1993,POLL_ACK,260850361856,641280435331,-91.98,-95.84
1993,RANGE,643243938304,262813954981,-92.54,-96.04
1994,POLL,653626656768,273196711334,-92.06,-95.56
1994,POLL_ACK,276951429120,657381443760,-92.03,-95.58
1994,RANGE,659344889856,278914965365,-92.34,-95.85
1995,POLL,661677673472,281247757494,-92.55,-96.03
1995,POLL_ACK,285004452352,665434437567,-97.71,-100.45
1995,RANGE,667397651456,286967756396,-93.15,-96.8
1996,POLL,669729455104,289299568552,-92.84,-96.14
