Message num,Action,send,recived,RXPower,FPPower
16883,POLL,484546887680,318972543352,-89.6,-96.5
16883,POLL_ACK,320044662784,485619094860,-89.9,-97.37
16883,RANGE,490265127936,324690758340,-89.86,-96.69
16884,POLL,492598286848,327023906924,-89.94,-97.04
16884,POLL_ACK,328096857088,493671324784,-90.18,-97.01
16884,RANGE,498318515712,332744110461,-90.67,-96.57
16885,POLL,500649687552,335075271999,-90.36,-97.17
16885,POLL_ACK,336147450368,501721953686,-90.63,-96.87
16885,RANGE,506369652736,340795211878,-90.28,-95.93
16886,POLL,508701030400,343126579222,-89.88,-95.95
16886,POLL_ACK,344199422976,509773961918,-89.97,-96.58
16886,RANGE,514421133312,348846656810,-89.91,-96.6
16887,POLL,516752432640,351177945824,-89.81,-95.83
16887,POLL_ACK,352250292736,517824867315,-90.3,-96.25
16887,RANGE,522472347136,356897835006,-90.26,-96.23
16888,POLL,524804215296,359229692810,-90.21,-96.09
16888,POLL_ACK,360302318592,525876928843,-90.65,-96.45
16888,RANGE,530524144640,364949596819,-90.21,-95.73
16889,POLL,532855237120,367280678980,-89.99,-96.54
16889,POLL_ACK,368353494528,533928140461,-90.4,-96.67
16889,RANGE,538575214592,373000631120,-89.91,-94.91
16890,POLL,540906643456,375332049631,-89.9,-96.48
16890,POLL_ACK,376404559360,541979240933,-92.56,-99.07
16890,RANGE,546625974784,381051355650,-89.29,-96.8
16891,POLL,548958422016,383383792544,-89.24,-97.18
16891,POLL_ACK,384456430592,550031147831,-89.46,-97.51
16891,RANGE,554678002688,389103347911,-89.43,-97.16
16892,POLL,557009447936,391434782846,-88.98,-94.83
16892,POLL_ACK,392507316736,558082069588,-89.35,-97.04
16892,RANGE,562729546752,397154856356,-89.37,-95.35
16893,POLL,565060846592,399486145891,-89.46,-95.81
16893,POLL_ACK,400558705152,566133493620,-89.54,-95.49
16893,RANGE,570780765696,405206039706,-90.46,-95.31
16894,POLL,573112625664,407537889360,-90.25,-96.01
16894,POLL_ACK,408609627136,574184451202,-91.57,-96.86
16894,RANGE,578832779776,413258018186,-90.53,-96.37
16895,POLL,581163651072,415588879168,-91.13,-96.82
16895,POLL_ACK,416661526016,582236385689,-92.09,-96.72
16895,RANGE,586883614208,421308817002,-90.43,-95.94
16896,POLL,589215053312,423640245800,-90.11,-95.42
16896,POLL_ACK,424713028608,590287923894,-90.6,-96.16
16896,RANGE,594934392320,429359559509,-91.41,-96.39
16897,POLL,597266835968,431691992836,-91.84,-96.65
16897,POLL_ACK,432764794368,598339725263,-92.07,-97.33
16897,RANGE,602986429952,437411561524,-91.19,-96.61
16898,POLL,605317857792,439742979039,-91.45,-96.19
16898,POLL_ACK,440815259648,606390226163,-91.63,-96.62
16898,RANGE,611037832192,445462928142,-92.0,-96.47
16899,POLL,613369315328,447794400964,-92.27,-96.45
16899,POLL_ACK,448866597376,614441599517,-92.61,-96.94
16899,RANGE,619089220608,453514280940,-92.63,-96.4
16900,POLL,621420666368,455845716377,-92.87,-96.45
16900,POLL_ACK,456917977088,622493014847,-93.3,-96.9
16900,RANGE,627140689408,461565714123,-91.2,-96.91
16901,POLL,629472064512,463897078899,-90.76,-97.66
16901,POLL_ACK,464970051584,630545124963,-90.65,-96.99
16901,RANGE,635191961088,469616950176,-90.54,-96.43
16902,POLL,637523847168,471948825937,-90.58,-96.83
16902,POLL_ACK,473021002240,638596111229,-90.69,-96.2
16902,RANGE,643243938304,477668891771,-90.67,-96.89
16903,POLL,653626656768,488051564303,-91.5,-96.79
16903,POLL_ACK,489122539008,654697719228,-91.59,-97.17
16903,RANGE,659344889856,493769772121,-91.7,-97.24
16904,POLL,661677673472,496102545400,-91.72,-97.07
16904,POLL_ACK,497175383040,662750598868,-91.82,-97.24
16904,RANGE,667397651456,501822498079,-92.06,-97.0
16905,POLL,669729455104,504154291419,-92.53,-97.19
16905,POLL_ACK,505226440192,670801691650,-96.96,-101.82
16905,RANGE,675449250304,509874061309,-91.82,-96.99
16906,POLL,677780538368,512205339040,-91.93,-97.11
16906,POLL_ACK,513278323712,678853610809,-92.03,-97.26
16906,RANGE,683499824128,517924599488,-91.99,-97.27
16907,POLL,685832259584,520257024620,-91.91,-96.93
16907,POLL_ACK,521329966080,686905288818,-92.26,-97.66
16907,RANGE,691552057344,525976797055,-91.98,-97.12
16908,POLL,693883342848,528308072237,-91.91,-96.84
16908,POLL_ACK,529380699648,694956058028,-92.43,-96.96
16908,RANGE,699602987008,534027691071,-91.88,-96.59
16909,POLL,701934688256,536359381989,-91.85,-95.7
16909,POLL_ACK,537431764992,703007159014,-92.2,-96.22
16909,RANGE,707655046144,542079714572,-92.35,-95.69
16910,POLL,709986086400,544410744517,-92.43,-95.74
16910,POLL_ACK,545483193344,711058623003,-92.55,-96.01
16910,RANGE,715706327552,550130960337,-91.85,-95.02
16911,POLL,718037549568,552462172024,-91.94,-95.56
16911,POLL_ACK,553534541312,719110006630,-92.5,-95.92
16911,RANGE,723757471744,558182068875,-92.2,-96.23
16912,POLL,726089270272,560513857105,-92.01,-94.95
16912,POLL_ACK,561586432000,727161932949,-92.26,-95.91
16912,RANGE,731809184768,566233746258,-91.8,-95.17
16913,POLL,734140352512,568564903693,-91.84,-96.07
16913,POLL_ACK,569637857280,735213393872,-91.97,-96.06
16913,RANGE,739860203520,574284729370,-91.73,-95.11
16914,POLL,742192067584,576616583113,-91.53,-95.61
16914,POLL_ACK,577689229312,743264801554,-91.7,-95.68
16914,RANGE,747911667712,582336157927,-91.41,-95.64
16915,POLL,750243097600,584667577494,-91.41,-95.7
16915,POLL_ACK,585740221440,751315829323,-91.38,-96.35
16915,RANGE,755963256832,590387711392,-91.15,-95.96
16916,POLL,758294499840,592718944081,-91.46,-96.0
16916,POLL_ACK,593791363584,759367007101,-91.46,-96.62
16916,RANGE,764014593024,598439011965,-90.98,-96.23
16917,POLL,766345960960,600770369587,-91.01,-96.89
16917,POLL_ACK,601842851840,767418530988,-90.8,-97.51
16917,RANGE,772065875968,606490259264,-90.51,-97.85
16918,POLL,774397303808,608821676783,-90.7,-97.61
16918,POLL_ACK,609894505984,775470220774,-90.83,-97.73
16918,RANGE,780117218304,614541565960,-90.61,-97.04
16919,POLL,782448706048,616873043371,-90.69,-97.85
16919,POLL_ACK,617945635328,783521385762,-90.55,-97.13
16919,RANGE,788167781888,622592093904,-90.65,-96.9
16920,POLL,790500169216,624924470894,-90.73,-97.83
16920,POLL_ACK,625997058560,791572844664,-90.66,-96.64
16920,RANGE,796220022784,630644299121,-90.8,-97.71
16921,POLL,798551510528,632975776558,-90.56,-97.57
16921,POLL_ACK,634048698880,799624520621,-90.65,-97.33
16921,RANGE,804271623680,638695864352,-90.68,-97.97
16922,POLL,806602971648,641027201998,-90.64,-97.85
16922,POLL_ACK,642099815936,807675673355,-90.43,-97.37
16922,RANGE,812322833920,646747038947,-90.68,-97.28
16923,POLL,822705774592,657129933600,-91.08,-97.21
16923,POLL_ACK,658200927744,823776856500,-91.15,-97.06
16923,RANGE,828423969792,662848103472,-91.31,-97.29
16924,POLL,830757118976,665181242325,-91.02,-96.64
16924,POLL_ACK,666253773824,831829738255,-91.09,-96.74
16924,RANGE,836477032448,670901130444,-91.01,-97.4
16925,POLL,838808898560,673232986234,-90.72,-96.95
16925,POLL_ACK,674305289216,839881289320,-90.74,-96.91
16925,RANGE,844528882688,678952945011,-90.82,-96.69
16926,POLL,846859923456,681283975443,-90.81,-97.01
16926,POLL_ACK,682356157440,847932193226,-90.73,-97.0
16926,RANGE,852580097536,687004124184,-90.61,-96.76
16927,POLL,854911705088,689335721401,-90.37,-97.22
16927,POLL_ACK,690408103936,855984175392,-90.86,-98.05
16927,RANGE,860631619584,695055610558,-90.41,-97.86
16928,POLL,862962786816,697386767453,-90.6,-97.98
16928,POLL_ACK,698459353088,864035460228,-90.57,-97.4
16928,RANGE,868682641920,703106597212,-90.3,-96.88
16929,POLL,871014509568,705438454530,-90.36,-96.71
16929,POLL_ACK,706511245824,872087388638,-90.52,-97.37
16929,RANGE,876733967872,711157887497,-90.97,-97.87
16930,POLL,879065904640,713489813915,-90.78,-97.57
16930,POLL_ACK,714562242048,880138420530,-90.85,-97.62
16930,RANGE,884785495040,719209378988,-90.42,-97.67
16931,POLL,887116938240,721540811869,-90.59,-97.89
16931,POLL_ACK,722613498880,888189713015,-90.78,-98.08
16931,RANGE,892836326912,727260175198,-90.28,-97.72
