Name,TOF,RX,FP,dist
11a1,34250.35572220978,-83.38,-91.09,160.64639118844187
12a2,34292.347392363634,-84.51,-91.93,160.84334710694102
13a3,34252.21392597455,-83.2,-91.34,160.65510682723186
14a4,34344.23084513226,-84.16,-92.14,161.08669901596286
15a5,34258.16054161004,-84.45,-91.77,160.68299857671832
