Name,TOF,RX,FP,dist
11a1,43567.79691481247,-88.61,-95.01,204.34851547708215
12a2,43621.040909836775,-92.22,-97.73,204.59824881481688
13a3,43590.39746788067,-91.8,-102.59,204.45452013638308
14a4,43576.04040754934,-90.46,-99.08,204.3871803998557
15a5,43617.05761070993,-95.24,-99.47,204.57956572040055
