Message num,Action,send,recived,RXPower,FPPower
2469,POLL,379126032896,9842753914,-88.7,-92.3
2469,POLL_ACK,12704705536,381988061828,-87.73,-91.67
2469,RANGE,384846324224,15563043663,-88.21,-92.65
2470,POLL,387177063424,17893782207,-88.2,-92.01
2470,POLL_ACK,20755460608,390038819101,-87.44,-91.19
2470,RANGE,392896401920,23613119173,-88.77,-92.87
2471,POLL,395228845056,25945561656,-88.3,-92.22
2471,POLL_ACK,28808634880,398091995573,-88.04,-91.2
2471,RANGE,400948676608,31665391666,-88.26,-91.8
2472,POLL,403279927808,33996642237,-88.02,-91.54
2472,POLL_ACK,36858303488,406141666348,-88.25,-92.58
2472,RANGE,409000154624,39716867522,-88.7,-92.37
2473,POLL,411331649024,42048361270,-88.73,-91.71
2473,POLL_ACK,44910588416,414193953475,-88.08,-91.97
2473,RANGE,417051567104,47768277815,-88.67,-92.41
2474,POLL,419382732800,50099442872,-88.62,-92.31
2474,POLL_ACK,52961092096,422244459329,-88.65,-91.28
2474,RANGE,425102254080,55818962626,-87.43,-91.18
2475,POLL,427434074112,58150782012,-89.01,-93.16
2475,POLL_ACK,61012494336,430295863706,-88.88,-93.0
2475,RANGE,433153988608,63870695029,-89.25,-91.77
2476,POLL,443537255424,74253958980,-89.32,-92.96
2476,POLL_ACK,77114302464,446397676156,-88.77,-91.95
2476,RANGE,449255629824,79972331915,-89.64,-92.45
2477,POLL,451588280832,82304982266,-88.91,-91.9
2477,POLL_ACK,85167355392,454450731241,-88.66,-91.27
2477,RANGE,457308568064,88025267946,-89.36,-92.45
2478,POLL,459640062464,90356761723,-88.68,-91.57
2478,POLL_ACK,93218621952,462502000018,-88.85,-91.35
2478,RANGE,465359848448,96076546178,-89.13,-91.68
2479,POLL,467691085312,98407782389,-89.27,-92.51
2479,POLL_ACK,101269884416,470553264645,-88.82,-91.51
2479,RANGE,473410484736,104127180244,-89.01,-92.5
2480,POLL,475742487552,106459182396,-89.48,-92.88
2480,POLL_ACK,109321412608,478604795062,-88.79,-92.15
2480,RANGE,481462465024,112179158331,-89.27,-92.39
2481,POLL,483793947648,114510640297,-88.3,-91.33
2481,POLL_ACK,117372610560,486655995202,-87.87,-92.35
2481,RANGE,489512266752,120228957818,-88.95,-92.98
2482,POLL,491845292032,122561982462,-89.11,-92.71
2482,POLL_ACK,125424196608,494707583498,-88.02,-91.42
2482,RANGE,497565658624,128282347487,-88.11,-93.09
2483,POLL,499896755200,130613443399,-88.21,-92.23
2483,POLL_ACK,133476026880,502759415976,-87.35,-91.23
2483,RANGE,505616608768,136333295408,-88.04,-91.4
2484,POLL,507948097024,138664783004,-88.31,-92.69
2484,POLL_ACK,141529322496,510812713854,-87.65,-91.23
2484,RANGE,513668455424,144385139792,-88.07,-92.78
2485,POLL,515999559680,146716243392,-88.23,-91.4
2485,POLL_ACK,149578236928,518861630565,-88.03,-91.67
2485,RANGE,521719732736,152436414835,-88.61,-91.83
2486,POLL,524050901504,154767582918,-88.42,-92.27
2486,POLL_ACK,157629682688,526913078587,-88.27,-92.12
2486,RANGE,529771176960,160487856794,-88.25,-91.52
2487,POLL,532102307840,162818987007,-88.01,-91.75
2487,POLL_ACK,165680634368,534964032510,-88.07,-91.51
2487,RANGE,537822416896,168539094512,-87.83,-91.68
2488,POLL,540153705984,170870382897,-88.3,-91.7
2488,POLL_ACK,173732466176,543015866563,-87.58,-91.29
2488,RANGE,545873684480,176590359842,-88.43,-93.12
2489,POLL,548205488640,178922163338,-88.71,-93.09
2489,POLL_ACK,181784049664,551067452253,-88.41,-92.88
2489,RANGE,553925405184,184642078333,-88.71,-91.95
2490,POLL,556256569856,186973242359,-88.72,-92.16
2490,POLL_ACK,189835321856,559118726613,-88.04,-91.33
2490,RANGE,561976783872,192693454846,-89.33,-92.82
2491,POLL,564307913216,195024583545,-88.89,-91.81
2491,POLL_ACK,197886840320,567170247258,-88.59,-92.28
2491,RANGE,570027944448,200744613295,-89.67,-92.93
2492,POLL,572359319040,203075987225,-88.75,-92.54
2492,POLL_ACK,205937701888,575221110984,-88.52,-92.5
2492,RANGE,578079481856,208796148552,-88.9,-91.83
2493,POLL,580411160576,211127826629,-89.05,-92.35
2493,POLL_ACK,213992537088,583275948313,-88.8,-92.35
2493,RANGE,586130874368,216847538912,-88.71,-92.33
2494,POLL,588462123520,219178787448,-89.25,-92.31
2494,POLL_ACK,222040573440,591323986779,-88.51,-91.91
2494,RANGE,594182097920,224898760314,-89.02,-92.25
2495,POLL,596513902080,227230563785,-88.87,-92.54
2495,POLL_ACK,230091821568,599375237127,-88.9,-92.16
