Message num,Action,send,recived,RXPower,FPPower
16402,POLL,808583638528,643027479057,-89.23,-96.88
16402,POLL_ACK,644100691968,809656937101,-89.1,-97.2
16402,RANGE,814302709248,648746524246,-88.75,-97.38
16403,POLL,824686820864,659130589496,-88.46,-96.68
16403,POLL_ACK,660201911808,825758228822,-89.02,-96.18
16403,RANGE,830405003264,664848746390,-89.31,-95.65
16404,POLL,832738226688,667181959392,-89.3,-96.09
16404,POLL_ACK,668254950912,833811303867,-90.39,-97.1
16404,RANGE,838459215360,672902922520,-89.29,-95.83
16405,POLL,840789309440,675233006193,-89.42,-96.05
16405,POLL_ACK,676306395648,841862784562,-89.85,-95.7
16405,RANGE,846509223424,680952894625,-89.68,-95.32
16406,POLL,848840651776,683284312573,-89.63,-95.55
16406,POLL_ACK,684357327360,849913752248,-89.67,-95.6
16406,RANGE,854560556032,689004191275,-89.28,-95.4
16407,POLL,856892058112,691335682937,-89.2,-95.81
16407,POLL_ACK,692408373760,857964834618,-89.08,-95.96
16407,RANGE,862612615168,697056214433,-89.33,-95.34
16408,POLL,864943460864,699387049700,-90.02,-95.49
16408,POLL_ACK,700459847168,866016344001,-88.55,-95.16
16408,RANGE,870663226368,705106789650,-89.97,-94.79
16409,POLL,872995238912,707438791769,-90.66,-94.94
16409,POLL_ACK,708511910912,874068443739,-90.95,-95.69
16409,RANGE,878714953216,713158480497,-88.09,-95.32
16410,POLL,881046321152,715489838003,-89.54,-95.68
16410,POLL_ACK,716562541568,882119110385,-90.39,-95.92
16410,RANGE,886766236672,721209727959,-89.21,-95.81
16411,POLL,889098044416,723541525270,-88.94,-96.17
16411,POLL_ACK,724614478336,890171083171,-88.83,-95.82
16411,RANGE,894817890816,729261346092,-88.98,-96.48
16412,POLL,897149128192,731592573050,-89.42,-96.04
16412,POLL_ACK,732665921536,898222562392,-90.1,-95.27
16412,RANGE,902868772864,737312192138,-88.17,-94.5
16413,POLL,905200474112,739643882959,-88.57,-94.69
16413,POLL_ACK,740717046272,906273723116,-88.6,-95.67
16413,RANGE,910920563712,745363946972,-87.69,-95.46
16414,POLL,913251932160,747695304997,-89.2,-95.54
16414,POLL_ACK,748767840768,914324553618,-90.88,-95.44
16414,RANGE,918972032512,753415379775,-90.4,-95.38
16415,POLL,921303275520,755746612359,-90.56,-95.65
16415,POLL_ACK,756819423232,922376172096,-90.3,-95.62
16415,RANGE,927023445504,761466756741,-90.12,-95.59
16416,POLL,929354742272,763798043075,-90.74,-94.9
16416,POLL_ACK,764871112704,930427897584,-90.92,-95.25
16416,RANGE,935074716672,769517991927,-89.83,-95.49
16417,POLL,937406460928,771849725744,-89.89,-96.17
16417,POLL_ACK,772922568704,938479389584,-90.73,-95.84
16417,RANGE,943126353920,777569593170,-90.52,-95.67
16418,POLL,945457544192,779900773037,-90.18,-95.68
16418,POLL_ACK,780973622784,946530479617,-90.19,-95.92
16418,RANGE,951177593856,785620797140,-88.89,-95.34
16419,POLL,953509266432,787952459306,-88.84,-95.68
16419,POLL_ACK,789025331712,954582224507,-89.18,-95.46
16419,RANGE,959228410368,793671577701,-88.84,-95.9
16420,POLL,961560288768,796003445699,-88.26,-95.64
16420,POLL_ACK,797076509696,962633438453,-88.57,-95.87
16420,RANGE,967280529920,801723661281,-88.99,-95.59
16421,POLL,969611691520,804054812479,-88.94,-95.76
16421,POLL_ACK,805127888896,970684853618,-89.07,-95.75
16421,RANGE,975331650048,809774745471,-88.91,-95.89
16422,POLL,977663097856,812106182861,-88.92,-96.14
16422,POLL_ACK,813179212800,978736213467,-89.1,-96.22
16422,RANGE,983383391232,817826450698,-89.81,-95.92
16423,POLL,993766271488,828209284581,-88.75,-95.65
16423,POLL_ACK,829280631296,994837703875,-89.04,-96.1
16423,RANGE,999484641280,833927628847,-88.65,-95.91
16424,POLL,1001817362432,836260339571,-89.03,-95.81
16424,POLL_ACK,837333598720,1002890707273,-89.25,-94.96
16424,RANGE,1007537333760,841980285335,-90.31,-95.44
16425,POLL,1009868708864,844311650011,-90.82,-95.97
16425,POLL_ACK,845384668160,1010941812692,-90.58,-95.8
16425,RANGE,1015588746240,850031661784,-91.02,-96.17
16426,POLL,1017920107520,852363012655,-91.13,-95.67
16426,POLL_ACK,853435597824,1018992778355,-91.16,-96.07
16426,RANGE,1023640395264,858083274838,-90.35,-96.18
16427,POLL,1025971889664,860414758820,-89.39,-95.9
16427,POLL_ACK,861486247424,1027043463940,-89.57,-95.87
16427,RANGE,1031691674624,866134518204,-90.47,-96.27
16428,POLL,1034022916608,868465749772,-89.31,-96.21
16428,POLL_ACK,869538942464,1035096194955,-89.13,-96.27
16428,RANGE,1039743222784,874186030412,-89.89,-96.04
16429,POLL,1042074377728,876517174956,-90.71,-95.89
16429,POLL_ACK,877591583232,1043148871681,-90.2,-95.85
16429,RANGE,1047794276352,882237048061,-88.0,-97.15
16430,POLL,1050125722112,884568483399,-88.06,-97.58
16430,POLL_ACK,885641679360,1051199003736,-87.86,-96.75
16430,RANGE,1055845126144,890287861944,-89.28,-96.38
16431,POLL,1058177497600,892620223002,-90.36,-95.82
16431,POLL_ACK,893693639680,1059250999942,-90.65,-96.03
16431,RANGE,1063897656832,898340356734,-91.44,-95.96
16432,POLL,1066228903424,900671592904,-90.69,-96.03
16432,POLL_ACK,901744700928,1067302097098,-90.08,-95.76
16432,RANGE,1071948808704,906391472661,-88.89,-95.28
16433,POLL,1074279929856,908722583403,-89.9,-95.95
16433,POLL_ACK,909795311616,1075352743741,-90.09,-95.22
16433,RANGE,1079999450112,914442078104,-89.58,-96.06
16434,POLL,1082331328512,916773946083,-89.83,-96.34
16434,POLL_ACK,917847206912,1083404675017,-90.5,-95.92
16434,RANGE,1088051369984,922493962008,-88.47,-95.07
16435,POLL,1090382731264,924825312883,-88.18,-95.32
16435,POLL_ACK,925898270208,1091455774276,-88.18,-94.98
16435,RANGE,1096102704128,930545260180,-89.44,-95.86
16436,POLL,1098434134016,932876679622,-91.32,-95.41
16436,POLL_ACK,933949393408,1099506933483,-90.62,-95.91
16436,RANGE,4642601984,938596749784,-90.29,-95.7
16437,POLL,6973967872,940928105230,-89.3,-96.01
16437,POLL_ACK,942000847872,8046796191,-88.58,-95.66
16437,RANGE,12694150144,946648261914,-88.48,-95.21
16438,POLL,15025315328,948979416688,-89.78,-95.57
16438,POLL_ACK,950052400640,16098384962,-89.92,-95.36
16438,RANGE,20745422336,954699498127,-89.09,-95.13
16439,POLL,23076774912,957030840279,-89.28,-95.49
16439,POLL_ACK,958103345664,24149365953,-89.21,-95.21
16439,RANGE,28797071872,962751111705,-90.66,-95.25
16440,POLL,31128177664,965082207071,-91.93,-96.3
16440,POLL_ACK,966155489792,32201546047,-91.74,-96.51
16440,RANGE,36848328192,970802332027,-89.82,-95.29
16441,POLL,39179523584,973133516992,-89.36,-94.52
16441,POLL_ACK,974206861312,40252953593,-89.53,-94.51
16441,RANGE,44899433984,978853401804,-90.01,-95.63
16442,POLL,47231302144,981185259529,-89.41,-95.83
16442,POLL_ACK,982258162688,48304290998,-89.36,-95.27
16442,RANGE,52951266304,986905198092,-90.77,-95.36
16443,POLL,63333731328,997287616594,-90.43,-95.84
16443,POLL_ACK,998358888960,64405089362,-91.02,-95.67
16443,RANGE,69052083712,1003005943385,-90.64,-95.82
16444,POLL,71385526784,1005339376017,-90.56,-95.52
16444,POLL_ACK,1006412770816,72459007269,-90.67,-95.85
16444,RANGE,77105666048,1011059489664,-91.14,-95.57
16445,POLL,79436912640,1013390725813,-91.32,-95.56
16445,POLL_ACK,1014464025088,80510297592,-91.66,-95.55
16445,RANGE,85156883968,1019110671514,-90.78,-96.02
16446,POLL,87487995904,1021441773028,-90.92,-95.97
16446,POLL_ACK,1022514698752,88561007315,-91.02,-96.32
16446,RANGE,93208492544,1027162244025,-90.29,-95.98
16447,POLL,95539717120,1029493458163,-89.91,-96.1
16447,POLL_ACK,1030566789632,96613134278,-89.48,-96.03
16447,RANGE,101259618304,1035213333712,-88.94,-96.59
16448,POLL,103590797824,1037544502773,-89.0,-96.64
16448,POLL_ACK,1038617577984,104663958717,-88.81,-95.96
16448,RANGE,109311021056,1043264700371,-88.99,-96.26
16449,POLL,111642147328,1045595816193,-88.88,-96.41
16449,POLL_ACK,1046668950528,112715367350,-88.98,-96.26
16449,RANGE,117362487296,1051316130532,-88.89,-96.36
16450,POLL,119693606400,1053647239171,-88.74,-96.52
16450,POLL_ACK,1054720202240,120766655180,-88.76,-96.29
16450,RANGE,125413639168,1059367246290,-88.63,-96.16
16451,POLL,127745007616,1061698604296,-88.89,-96.28
16451,POLL_ACK,1062771837440,128818326462,-88.97,-96.19
16451,RANGE,133464863232,1067418434249,-88.93,-96.45
16452,POLL,135796406272,1069749966858,-88.75,-95.5
16452,POLL_ACK,1070823160320,136869685451,-89.02,-95.6
16452,RANGE,141516943872,1075470478793,-88.61,-95.32
16453,POLL,143847757824,1077801282294,-88.8,-95.37
16453,POLL_ACK,1078874537472,144921098732,-88.72,-95.22
16453,RANGE,149567994880,1083521493660,-88.83,-95.75
16454,POLL,151899156480,1085852644779,-88.55,-95.17
16454,POLL_ACK,1086925782016,152972379418,-88.55,-95.38
16454,RANGE,157619267584,1091572730182,-88.79,-95.9
16455,POLL,159950619648,1093904071762,-88.73,-95.69
16455,POLL_ACK,1094977488384,161024121979,-88.89,-95.72
16455,RANGE,165670864384,112663033,-89.23,-95.61
16456,POLL,168001965568,2443753737,-88.89,-96.01
16456,POLL_ACK,3516857344,169075154873,-88.98,-95.36
16456,RANGE,173722131968,8163894449,-89.79,-95.37
16457,POLL,176053364224,10495116214,-89.45,-94.96
16457,POLL_ACK,11568364032,177126697740,-89.54,-95.56
16457,RANGE,181773667328,16215393631,-89.33,-95.09
16458,POLL,184104827904,18546543737,-89.44,-95.27
16458,POLL_ACK,19619667456,185178037335,-89.64,-94.94
16458,RANGE,189824924672,24266614789,-89.47,-95.77
16459,POLL,192156169728,26597849361,-89.59,-95.25
16459,POLL_ACK,27671186944,193229593030,-89.71,-95.11
16459,RANGE,197876144128,32317798043,-89.75,-95.62
16460,POLL,200207633408,34649276836,-89.91,-96.17
16460,POLL_ACK,35722508288,201280950587,-89.9,-96.12
16460,RANGE,205927681024,40369298721,-89.58,-95.72
16461,POLL,208259034112,42700641325,-89.06,-95.4
16461,POLL_ACK,43773948416,209332426918,-88.97,-96.13
16461,RANGE,213978953728,48420535194,-89.02,-95.35
16462,POLL,216310757888,50752328863,-88.98,-95.54
16462,POLL_ACK,51825197568,217383712310,-88.83,-96.14
16462,RANGE,222030658560,56472203747,-88.57,-95.62
16463,POLL,232413562880,66855061034,-88.45,-96.08
16463,POLL_ACK,67926615552,233485203142,-88.26,-96.14
16463,RANGE,238131539968,72573012196,-88.25,-96.25
16464,POLL,240464590336,74906051977,-88.24,-95.92
16464,POLL_ACK,75978880000,241537504085,-88.14,-96.04
16464,RANGE,246184800768,80626236516,-88.22,-96.29
16465,POLL,248516048384,82957473558,-88.28,-96.29
16465,POLL_ACK,84030518784,249589179342,-88.16,-96.2
16465,RANGE,254236274688,88677673961,-88.41,-95.78
16466,POLL,256567396352,91008785067,-87.92,-96.67
16466,POLL_ACK,92081463808,257640160830,-89.94,-99.07
16466,RANGE,262287307264,96728670120,-87.78,-96.07
16467,POLL,264619175424,99060527717,-88.26,-96.01
16467,POLL_ACK,100133735424,265692468868,-88.81,-96.72
16467,RANGE,270339972608,104781299004,-87.79,-95.98
16468,POLL,272670255616,107111571433,-87.82,-96.25
16468,POLL_ACK,108184476672,273743246605,-87.46,-95.58
16468,RANGE,278390375424,112831665294,-88.0,-95.78
16469,POLL,280721661952,115162941244,-88.03,-95.63
16469,POLL_ACK,116235786240,281794592707,-88.02,-95.6
16469,RANGE,286441515520,120882768891,-87.95,-95.85
16470,POLL,288773376000,123214618780,-88.03,-96.16
16470,POLL_ACK,124287747072,289846590047,-87.88,-96.21
16470,RANGE,294493301248,128934518073,-88.18,-96.4
16471,POLL,296824465920,131265672186,-88.02,-95.97
16471,POLL_ACK,132338307584,297897187062,-88.12,-96.06
16471,RANGE,302543742464,136984922822,-88.22,-95.84
16472,POLL,304876182016,139317351807,-88.12,-95.58
16472,POLL_ACK,140389807104,305948723070,-88.22,-95.74
16472,RANGE,310595969536,145037113413,-88.26,-95.27
16473,POLL,312927212544,147368345867,-88.4,-95.52
16473,POLL_ACK,148441311744,314000264170,-88.24,-95.88
16473,RANGE,318647183360,153088290760,-88.32,-95.67
16474,POLL,320978619392,155419716190,-88.22,-95.28
16474,POLL_ACK,156492820480,322051809442,-88.14,-95.51
16474,RANGE,326698775552,161139846403,-88.73,-94.91
16475,POLL,329030022144,163471082448,-88.39,-95.23
