Name,RX,FP,TOF,dist
11a1,-85.775,-91.85,40231.99807089643,188.7024284597087
12a2,-89.0,-94.18,40298.59256421101,189.01478039878867
13a3,-85.78,-93.19,40278.93957983757,188.9226008885587
14a4,-85.1,-92.32,40246.519945523774,188.7705412341013
15a5,-88.19,-95.28,40280.47255200759,188.92979107510456
