Name,RX,FP,TOF,dist
11a1,-88.54,-96.78,36185.52835448923,169.72304143475566
12a2,-88.67,-92.98,36219.87189046768,169.8841248745989
13a3,-85.97,-92.32,36191.26352418255,169.7499414273151
14a4,-82.42,-92.4,36224.96832082019,169.9080289517044
15a5,-87.17,-93.91499999999999,36202.38212446106,169.80209163049244
