x_coord,y_coord,z_coord,x_speed,y_speed,z_speed

1.7075378027081352,2.6737350028108358,1.0556280816519614,"[0.4838813168937594, 0.49647140057483424, 0.5013024645318518]"

1.0744958431009457,2.466117324995301,0.9733229490337182,"[0.48386184072114663, 0.5168409214743559, 0.52255443172202]"

0.9179385433748107,1.4147141592194958,1.1624885961428177,"[0.5798544808916912, 0.2411092679312113, 0.7597994090012605]"

0.118751502458438,1.540772360452133,1.9253883893213937,"[0.37955862403536855, 0.497358789696065, 0.49033162082332554]"

0.10168954909671027,1.9626574950619446,2.1623497596243046,"[-0.33912242649945445, 0.6814447391798483, 1.0482293762089407]"

0.07334980007088314,2.0196044008819802,2.2499480873135167,"[-0.33912242649945445, 0.6814447391798483, 1.0482293762089407]"

0.0913870027974182,2.174552677981725,2.219190315042742,"[-0.3250797978054344, 0.5746085257326655, 0.7527987421070138]"

0.054194208908408245,2.2095214001523784,2.2628006235531184,"[-0.4332737671978267, 0.5614364762172516, 0.7953840515902906]"

-0.1208332821412204,2.040806080936883,2.195374490245364,"[-0.9617336118294, -0.2433386353061854, 0.73695084503673]"

-0.19026675387105843,2.0765604012516503,2.1156354629063263,"[-1.106003086648339, 0.016359690848164007, -0.15007083902678328]"

-0.3129388650537549,2.0783749330905485,2.098990385806078,"[-1.106003086648339, 0.016359690848164007, -0.15007083902678328]"

-0.2502842788117624,2.0518822742831353,2.099255193085858,"[-0.5262049197076245, -0.031008227758952987, -0.17298829817805597]"

-0.2766094689713845,2.0503309822642,2.0906008653242383,"[-0.5262049197076245, -0.031008227758952987, -0.17298829817805597]"

-0.2454236009159976,1.760160870342379,1.9440804224209898,"[-0.12077606004975264, -1.0826818970507466, -0.6316294126834912]"

-0.2576564645964501,1.8405381637192424,1.7996442777049808,"[0.02820816463011788, -0.5919969470213164, -1.256542624479772]"

-0.3399355136164601,1.7886103105857984,1.6849213535927954,"[-0.6069608812021903, -0.6879059258937223, -1.3456072799457994]"

-0.3533804078457052,1.683693463927665,1.6601166674260395,"[-0.6318055516509941, -1.258672056762006, -1.0194738318502956]"

-0.3989720991242319,1.652189499531142,1.6336346859141733,"[-0.7007098433063886, -1.090118460147386, -0.836253055507449]"

-0.44615906138348926,1.5800440782227592,1.564489123756003,"[-0.7707781415936638, -1.162725499653242, -0.9466966275664312]"

-0.44411000849130056,1.555569939949589,1.569415483524941,"[-0.5269171642910709, -1.1373731356177614, -0.8126573979015475]"

-0.3967545958885806,1.6324823554055758,1.6354330521380198,"[-0.13974497690719526, -0.5311446015474138, -0.4624847319889128]"

-0.41794807211504764,1.6157372035017705,1.563137885730011,"[-0.24767991929239952, -0.5448305999774447, -0.728207576787891]"

-0.4500359684961766,1.4526226037713443,1.359221101965602,"[-0.18152605704410674, -1.1689845016670488, -1.2295674421782474]"

-0.3298788808638421,1.4086642792344628,1.3592992945006273,"[0.718069563966476, -1.061126276161744, -1.0635028521886405]"

-0.3534359613461943,1.4248339958284102,1.322374010093952,"[0.14871776886928273, -0.5008036966416243, -0.8975749442489289]"

-0.3447324869303475,1.4569994508602813,1.1481017023743478,"[0.4173919171416006, -0.1062961250480594, -1.5553295025049787]"

-0.35972407564066383,1.3880344183466506,0.9268644950535468,"[0.24379022266553205, -0.5162023868420044, -1.9679761291565934]"

-0.2348664885812538,1.363530243544843,0.934701373083582,"[1.0810006358028337, -0.6129187134900241, -1.7304742828626107]"

-0.22738123400627208,1.3261307822849968,0.8350744430620504,"[0.5497334254087475, -0.7433530720932063, -1.7326863363458447]"

-0.20027514321068984,1.2894777520452019,0.7496396650724557,"[0.5497334254087475, -0.7433530720932063, -1.7326863363458447]"

-0.20412254252269962,1.3476856687213756,0.6808890426090909,"[0.44534905486346943, -0.30998836818076986, -1.5605244779413137]"

-0.24428309488788777,1.3392468749454063,0.5666829142803529,"[-0.08902469599514459, -0.2520386375788812, -1.6943338121879223]"

-0.28233677164380405,1.2924252899753315,0.4380018808311069,"[-0.44377111307443456, -0.606078901079595, -1.8145016691485323]"

-0.31459115027531764,1.2881631436821936,0.24815367967882018,"[-0.5308778335313974, -0.44327232523168564, -2.048528174536279]"

-0.3323308554400811,1.1933384403465235,-0.057770660780424116,"[-0.5551936572491957, -1.1078970802160624, -2.64597895189951]"

-0.26016494406904617,1.1372944572909063,-0.227173583130856,"[0.19731133900076137, -1.020696425283774, -2.9609688677803185]"

