x_coord,y_coord,z_coord,x_speed,y_speed,z_speed
1.429275202703436,1.187600250781407,0.9467630430158444,"[0.4971348133112851, 0.5023740592984813, 0.4874965494325893]"
0.2932139428660322,0.750471285606998,1.5106809777805243,"[0.5008136802409053, 0.4376888873243056, 0.4494152746980234]"
0.36558187023052324,0.813717636207671,1.5756217995651731,"[0.5008136802409053, 0.4376888873243056, 0.4494152746980234]"
0.41125196687675103,0.8257067899297055,1.485230741251718,"[0.48082907156088744, 0.4000274890053776, 0.2885355802273618]"
0.3008117424818831,0.5605858945282427,1.8115865318954958,"[-0.09562201206072052, -0.048741625358070736, 0.3749628205121283]"
0.29217748596677146,0.5561847353470506,1.8454440622502783,"[-0.09562201206072052, -0.048741625358070736, 0.3749628205121283]"
0.3032758829749901,0.5767597753085003,1.878132293251501,"[0.11460139015460839, 0.0016783723188009028, 0.32400727416771324]"
0.33200322428811185,0.47022209676760574,1.7681856800507134,"[0.0996727290157076, -0.16027289922210333, -0.22996901275057394]"
0.34150034092425174,0.45495081411530897,1.7462735426149463,"[0.0996727290157076, -0.16027289922210333, -0.22996901275057394]"
0.33352895469888233,0.44523398400528813,1.713013079645005,"[0.06048409265121838, -0.18855200845753017, -0.29230976806852943]"
0.373679704065605,0.3700986956435097,1.688509860996474,"[0.0733639931029448, -0.2643923387285487, -0.23268882172896702]"
0.380585713511078,0.3452105194232213,1.6666060477939761,"[0.0733639931029448, -0.2643923387285487, -0.23268882172896702]"
0.40475128978782643,0.2711950890191344,1.6587768208282947,"[0.05192126678435972, -0.314998142981231, -0.3125066808671469]"
0.45826864186460914,0.2677476789434233,1.6419026043538316,"[0.2384631168352375, -0.16923624083947433, -0.3617644326488536]"
0.4840277854390012,0.24946652635416816,1.602824267693706,"[0.2384631168352375, -0.16923624083947433, -0.3617644326488536]"
0.41762837537843484,0.30921113141863266,1.6220110964497432,"[0.09222065960873971, -0.1498011041041248, -0.4019691717035416]"
0.4308493689143123,0.2877352556503319,1.564383750871623,"[0.09222065960873971, -0.1498011041041248, -0.4019691717035416]"
0.42235875346609303,0.30309102395397847,1.5578934540103444,"[0.08371538021367035, -0.09507857917403247, -0.348848595389619]"
0.41694402506341516,0.32200142086577915,1.5434307875233393,"[0.0782157168228123, -0.0382165719423083, -0.2838226068993001]"
0.39032567155775094,0.3070988568194468,1.5416686054676862,"[0.0260664331342409, -0.167069896873909, -0.3844732050513463]"
0.3928790689687912,0.2907331408066841,1.5040066483699608,"[0.0260664331342409, -0.167069896873909, -0.3844732050513463]"
0.37343181933771047,0.2900635267972209,1.463585654787505,"[-0.06162433526109061, -0.19093849283084052, -0.47272045662882767]"
0.4435654065431992,0.24204704048834375,1.4105411073913103,"[0.13613465009038983, -0.1277651591532419, -0.5106628646418165]"
